_id,BD_DT_DATE,BD_SYMBOL,BD_SCRIP_NAME,BD_CLIENT_NAME,BD_BUY_SELL,BD_QTY_TRD,BD_TP_WATP,BD_REMARKS,TIMESTAMP,createdAt,updatedAt,__v,mTIMESTAMP
669124249f989258cd241cda,12-JUL-2024,ENGINERSIN,Engineers India Ltd.,GRAVITON RESEARCH CAPITAL LLP,BUY,2950961,294.82,-,2024-07-11T18:30:00.000Z,2024-07-12T12:40:04.287Z,2024-07-12T12:40:04.287Z,0,12-Jul-2024
669124249f989258cd241d20,12-JUL-2024,ENGINERSIN,Engineers India Ltd.,GRAVITON RESEARCH CAPITAL LLP,SELL,2950961,295.15,-,2024-07-11T18:30:00.000Z,2024-07-12T12:40:04.288Z,2024-07-12T12:40:04.288Z,0,12-Jul-2024
669124249f989258cd241cdb,12-JUL-2024,GENUSPAPER,Genus P&B Limited,GRAVITON RESEARCH CAPITAL LLP,BUY,1309561,25.29,-,2024-07-11T18:30:00.000Z,2024-07-12T12:40:04.287Z,2024-07-12T12:40:04.287Z,0,12-Jul-2024
669124249f989258cd241d21,12-JUL-2024,GENUSPAPER,Genus P&B Limited,GRAVITON RESEARCH CAPITAL LLP,SELL,1309561,25.29,-,2024-07-11T18:30:00.000Z,2024-07-12T12:40:04.288Z,2024-07-12T12:40:04.288Z,0,12-Jul-2024
669124249f989258cd241cdc,12-JUL-2024,GGBL,Ganesh Green Bharat Ltd,CINCO STOCK VISION LLP,BUY,240000,361.0,-,2024-07-11T18:30:00.000Z,2024-07-12T12:40:04.287Z,2024-07-12T12:40:04.287Z,0,12-Jul-2024
669124249f989258cd241cde,12-JUL-2024,GGBL,Ganesh Green Bharat Ltd,MULTIPLIER SHARE & STOCK ADVISORS PRIVATE LIMITED,BUY,399600,379.05,-,2024-07-11T18:30:00.000Z,2024-07-12T12:40:04.287Z,2024-07-12T12:40:04.287Z,0,12-Jul-2024
669124249f989258cd241cdd,12-JUL-2024,GGBL,Ganesh Green Bharat Ltd,YUGA STOCKS AND COMMODITIES PRIVATE LIMITED  .,BUY,138000,379.05,-,2024-07-11T18:30:00.000Z,2024-07-12T12:40:04.287Z,2024-07-12T12:40:04.287Z,0,12-Jul-2024
669124249f989258cd241cdf,12-JUL-2024,GPECO,GP Eco Solutions India L,SOHAM FINCARE INDIA LLP,BUY,68400,425.02,-,2024-07-11T18:30:00.000Z,2024-07-12T12:40:04.287Z,2024-07-12T12:40:04.287Z,0,12-Jul-2024
669124249f989258cd241d22,12-JUL-2024,GPECO,GP Eco Solutions India L,SOHAM FINCARE INDIA LLP,SELL,67200,425.68,-,2024-07-11T18:30:00.000Z,2024-07-12T12:40:04.288Z,2024-07-12T12:40:04.288Z,0,12-Jul-2024
669124249f989258cd241ce0,12-JUL-2024,GTLINFRA,GTL Infrastructure Limite,MULTIPLIER SHARE & STOCK ADVISORS PRIVATE LIMITED,BUY,92015663,3.18,-,2024-07-11T18:30:00.000Z,2024-07-12T12:40:04.287Z,2024-07-12T12:40:04.287Z,0,12-Jul-2024
669124249f989258cd241d23,12-JUL-2024,GTLINFRA,GTL Infrastructure Limite,MULTIPLIER SHARE & STOCK ADVISORS PRIVATE LIMITED,SELL,40894294,3.18,-,2024-07-11T18:30:00.000Z,2024-07-12T12:40:04.288Z,2024-07-12T12:40:04.288Z,0,12-Jul-2024
669124249f989258cd241d25,12-JUL-2024,HINDOILEXP,Hind. Oil Exploration,GRAVITON RESEARCH CAPITAL LLP,SELL,865545,232.17,-,2024-07-11T18:30:00.000Z,2024-07-12T12:40:04.288Z,2024-07-12T12:40:04.288Z,0,12-Jul-2024
669124249f989258cd241ce1,12-JUL-2024,HINDOILEXP,Hind. Oil Exploration,GRAVITON RESEARCH CAPITAL LLP,BUY,865545,232.1,-,2024-07-11T18:30:00.000Z,2024-07-12T12:40:04.287Z,2024-07-12T12:40:04.287Z,0,12-Jul-2024
669124249f989258cd241d24,12-JUL-2024,HINDOILEXP,Hind. Oil Exploration,PANDARINATHAN ELANGO,SELL,869000,232.2,-,2024-07-11T18:30:00.000Z,2024-07-12T12:40:04.288Z,2024-07-12T12:40:04.288Z,0,12-Jul-2024
669124249f989258cd241ce2,12-JUL-2024,HPL,HPL Electric & Power Ltd,AAKRAYA RESEARCH LLP,BUY,682038,642.27,-,2024-07-11T18:30:00.000Z,2024-07-12T12:40:04.287Z,2024-07-12T12:40:04.287Z,0,12-Jul-2024
669124249f989258cd241d29,12-JUL-2024,HPL,HPL Electric & Power Ltd,AAKRAYA RESEARCH LLP,SELL,682038,642.74,-,2024-07-11T18:30:00.000Z,2024-07-12T12:40:04.288Z,2024-07-12T12:40:04.288Z,0,12-Jul-2024
669124249f989258cd241d26,12-JUL-2024,HPL,HPL Electric & Power Ltd,GRAVITON RESEARCH CAPITAL LLP,SELL,487569,636.1,-,2024-07-11T18:30:00.000Z,2024-07-12T12:40:04.288Z,2024-07-12T12:40:04.288Z,0,12-Jul-2024
669124249f989258cd241ce3,12-JUL-2024,HPL,HPL Electric & Power Ltd,GRAVITON RESEARCH CAPITAL LLP,BUY,487569,634.7,-,2024-07-11T18:30:00.000Z,2024-07-12T12:40:04.287Z,2024-07-12T12:40:04.287Z,0,12-Jul-2024
669124249f989258cd241ce4,12-JUL-2024,HPL,HPL Electric & Power Ltd,HRTI PRIVATE LIMITED,BUY,409168,636.06,-,2024-07-11T18:30:00.000Z,2024-07-12T12:40:04.287Z,2024-07-12T12:40:04.287Z,0,12-Jul-2024
669124249f989258cd241d28,12-JUL-2024,HPL,HPL Electric & Power Ltd,HRTI PRIVATE LIMITED,SELL,392984,639.54,-,2024-07-11T18:30:00.000Z,2024-07-12T12:40:04.288Z,2024-07-12T12:40:04.288Z,0,12-Jul-2024
