_id,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TIMESTAMP,TIMESTAMP,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,createdAt,updatedAt,__v,COP_DELIV_QTY,COP_DELIV_PERC,VWAP,mTIMESTAMP,CA
669903def56786bf1ec08114,DRREDDY,EQ,N,2024-07-18,2024-07-17T18:30:00.000Z,6708.85,6590.4,6646.0,6667.5,6655.15,6646.05,385707,2564721443.4,6884.95,5093.0,57358,INE089A01023,2024-07-18T12:00:30.677Z,2024-07-18T12:00:30.677Z,0,193376,50.14,6649.4,18-Jul-2024
669903def56786bf1ec07fdd,EICHERMOT,EQ,N,2024-07-18,2024-07-17T18:30:00.000Z,4965.0,4784.95,4818.0,4941.1,4927.85,4916.1,773064,3774980887.35,4976.0,3274.9,70225,INE066A01021,2024-07-18T12:00:30.564Z,2024-07-18T12:00:30.564Z,0,453150,58.62,4883.14,18-Jul-2024
669903def56786bf1ec0801e,GRASIM,EQ,N,2024-07-18,2024-07-17T18:30:00.000Z,2845.8,2777.0,2810.0,2791.8,2791.9,2827.35,1181529,3307842697.45,2852.95,1748.6,94035,INE047A01021,2024-07-18T12:00:30.586Z,2024-07-18T12:00:30.586Z,0,726963,61.53,2799.63,18-Jul-2024
669904005ed3114ff8a4a8ce,HCLTECH,EQ,N,2024-07-18,2024-07-17T18:30:00.000Z,1599.25,1557.0,1558.05,1594.55,1589.0,1569.55,4399468,6966536295.5,1697.35,1095.0,205545,INE860A01027,2024-07-18T12:01:04.558Z,2024-07-18T12:01:04.558Z,0,2714674,61.7,1583.5,18-Jul-2024
669903fe5ed3114ff8a490fb,HDFCBANK,EQ,N,2024-07-18,2024-07-17T18:30:00.000Z,1623.95,1599.15,1608.0,1614.8,1615.0,1619.75,16858532,27197655556.65,1794.0,1363.55,332318,INE040A01034,2024-07-18T12:01:02.190Z,2024-07-18T12:01:02.190Z,0,9444621,56.02,1613.29,18-Jul-2024
669903ff5ed3114ff8a49ba7,HDFCLIFE,EQ,N,2024-07-18,2024-07-17T18:30:00.000Z,651.4,641.1,646.75,648.9,647.75,646.75,3975243,2571462189.2,710.6,511.4,95629,INE795G01014,2024-07-18T12:01:03.264Z,2024-07-18T12:01:03.264Z,0,2085452,52.46,646.87,18-Jul-2024
669903def56786bf1ec07cd1,HEROMOTOCO,EQ,N,2024-07-18,2024-07-17T18:30:00.000Z,5578.0,5417.1,5545.5,5502.2,5495.0,5578.1,841644,4618407191.7,5894.55,2890.0,66949,INE158A01026,2024-07-18T12:00:30.236Z,2024-07-18T12:00:30.236Z,0,453821,53.92,5487.36,18-Jul-2024
669903fe5ed3114ff8a49681,HINDALCO,EQ,N,2024-07-18,2024-07-17T18:30:00.000Z,695.85,684.1,686.0,689.95,690.0,690.8,7841505,5416627303.9,715.25,431.5,152276,INE038A01020,2024-07-18T12:01:02.788Z,2024-07-18T12:01:02.788Z,0,4839454,61.72,690.76,18-Jul-2024
669903def56786bf1ec07ab4,HINDUNILVR,EQ,N,2024-07-18,2024-07-17T18:30:00.000Z,2751.2,2655.0,2700.0,2738.4,2730.3,2688.45,5569762,15149949456.15,2751.2,2172.05,213269,INE030A01027,2024-07-18T12:00:30.034Z,2024-07-18T12:00:30.034Z,0,3498161,62.81,2720.04,18-Jul-2024
669903ddf56786bf1ec0764d,ICICIBANK,EQ,N,2024-07-18,2024-07-17T18:30:00.000Z,1256.45,1231.7,1234.9,1250.3,1248.85,1239.9,10999632,13707637498.2,1257.8,899.0,260080,INE090A01021,2024-07-18T12:00:29.577Z,2024-07-18T12:00:29.577Z,0,5809291,52.81,1246.19,18-Jul-2024
