_id,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TIMESTAMP,TIMESTAMP,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,createdAt,updatedAt,__v,COP_DELIV_QTY,COP_DELIV_PERC,VWAP,mTIMESTAMP,CA
66911af8b104d5da3a3126bf,INFY,EQ,N,2024-07-12,2024-07-11T18:30:00.000Z,1719.75,1666.65,1680.0,1711.75,1706.35,1652.7,17078316,29067635670.15,1733.0,1305.0,424229,INE009A01021,2024-07-12T12:00:56.718Z,2024-07-12T12:00:56.718Z,0,10631638,62.25,1702.02,12-Jul-2024,
66911adf3a4b669eacb4ac40,JSWSTEEL,EQ,N,2024-07-12,2024-07-11T18:30:00.000Z,937.75,924.0,929.95,934.4,935.35,925.0,1498780,1397766663.85,959.4,723.0,66594,INE019A01038,2024-07-12T12:00:31.369Z,2024-07-12T12:00:31.369Z,0,551468,36.79,932.6,12-Jul-2024,
66911adf3a4b669eacb4b0ae,KOTAKBANK,EQ,N,2024-07-12,2024-07-11T18:30:00.000Z,1851.0,1826.25,1844.5,1832.85,1834.0,1844.5,4240855,7788082222.95,1987.75,1543.85,144533,INE237A01028,2024-07-12T12:00:31.868Z,2024-07-12T12:00:31.868Z,0,2395308,56.48,1836.44,12-Jul-2024,
66911ae13a4b669eacb4bb68,LTIM,EQ,N,2024-07-12,2024-07-11T18:30:00.000Z,5659.7,5470.1,5521.25,5572.65,5566.0,5407.6,1174862,6557672602.75,6442.0,4513.55,87650,INE214T01019,2024-07-12T12:00:33.051Z,2024-07-12T12:00:33.051Z,0,418756,35.64,5581.65,12-Jul-2024,
66911adf3a4b669eacb4b02e,LT,EQ,N,2024-07-12,2024-07-11T18:30:00.000Z,3667.7,3612.7,3630.0,3649.35,3654.45,3621.1,2001185,7290841853.8,3919.9,2420.0,128210,INE018A01030,2024-07-12T12:00:31.812Z,2024-07-12T12:00:31.812Z,0,834472,41.7,3643.26,12-Jul-2024,
66911adf3a4b669eacb4b0d1,MARUTI,EQ,N,2024-07-12,2024-07-11T18:30:00.000Z,12669.9,12475.0,12620.0,12562.5,12599.0,12715.2,674746,8487349609.5,13300.0,9254.15,93175,INE585B01010,2024-07-12T12:00:31.881Z,2024-07-12T12:00:31.881Z,0,326738,48.42,12578.58,12-Jul-2024,
66911adf3a4b669eacb4b0b7,NTPC,EQ,N,2024-07-12,2024-07-11T18:30:00.000Z,379.4,372.0,378.95,377.15,377.5,377.1,16151583,6084892976.45,393.2,184.75,168936,INE733E01010,2024-07-12T12:00:31.875Z,2024-07-12T12:00:31.875Z,0,8085818,50.06,376.74,12-Jul-2024,
66911ae03a4b669eacb4b67e,NESTLEIND,EQ,N,2024-07-12,2024-07-11T18:30:00.000Z,2619.85,2585.85,2605.0,2609.0,2596.95,2593.2,725893,1892341938.4,27693.0,2327.45,79712,INE239A01024,2024-07-12T12:00:32.499Z,2024-07-12T12:00:32.499Z,0,391072,53.87,2606.92,12-Jul-2024,
66911ade3a4b669eacb4a7e3,ONGC,EQ,N,2024-07-12,2024-07-11T18:30:00.000Z,311.75,304.2,306.8,307.1,307.35,304.75,31788101,9783770407.75,311.75,162.5,254041,INE213A01029,2024-07-12T12:00:30.928Z,2024-07-12T12:00:30.928Z,0,14319518,45.05,307.78,12-Jul-2024,
66911ade3a4b669eacb4a288,POWERGRID,EQ,N,2024-07-12,2024-07-11T18:30:00.000Z,345.9,340.1,342.8,343.1,342.6,342.8,11380570,3907252228.85,348.75,190.65,124872,INE752E01010,2024-07-12T12:00:30.397Z,2024-07-12T12:00:30.397Z,0,5833022,51.25,343.33,12-Jul-2024,
66911ade3a4b669eacb4a7a3,RELIANCE,EQ,N,2024-07-12,2024-07-11T18:30:00.000Z,3210.3,3149.0,3169.0,3193.45,3195.0,3161.3,6462392,20589634191.2,3217.6,2220.3,246838,INE002A01018,2024-07-12T12:00:30.905Z,2024-07-12T12:00:30.905Z,0,2805611,43.41,3186.07,12-Jul-2024,
66911ade3a4b669eacb4a6c9,SBILIFE,EQ,N,2024-07-12,2024-07-11T18:30:00.000Z,1570.0,1547.35,1562.9,1562.85,1560.0,1558.8,589534,919285692.15,1570.0,1251.65,33060,INE123W01016,2024-07-12T12:00:30.820Z,2024-07-12T12:00:30.820Z,0,366611,62.19,1559.34,12-Jul-2024,
66911ade3a4b669eacb4a38a,SHRIRAMFIN,EQ,N,2024-07-12,2024-07-11T18:30:00.000Z,2860.0,2750.0,2750.0,2794.4,2791.2,2739.0,1806161,5079656726.1,3059.45,1703.85,121776,INE721A01013,2024-07-12T12:00:30.494Z,2024-07-12T12:00:30.494Z,0,858904,47.55,2812.41,12-Jul-2024,
66911ade3a4b669eacb4a7ab,SBIN,EQ,N,2024-07-12,2024-07-11T18:30:00.000Z,863.0,855.3,856.7,859.7,861.0,856.7,11446064,9840000639.3,912.0,543.2,192216,INE062A01020,2024-07-12T12:00:30.909Z,2024-07-12T12:00:30.909Z,0,4536220,39.63,859.68,12-Jul-2024,
66911ade3a4b669eacb4a778,SUNPHARMA,EQ,N,2024-07-12,2024-07-11T18:30:00.000Z,1587.35,1550.0,1582.0,1577.3,1581.0,1581.75,1426598,2253206891.1,1638.85,1031.1,87346,INE044A01036,2024-07-12T12:00:30.887Z,2024-07-12T12:00:30.887Z,0,567366,39.77,1579.43,12-Jul-2024,"[{'symbol': 'SUNPHARMA', 'series': 'EQ', 'ind': '-', 'faceVal': '1', 'subject': 'Dividend - Rs 5 Per Share', 'exDate': '12-Jul-2024', 'recDate': '12-Jul-2024', 'bcStartDate': '-', 'bcEndDate': '-', 'ndStartDate': '-', 'comp': 'Sun Pharmaceutical Industries Limited', 'isin': 'INE044A01028', 'ndEndDate': '-', 'caBroadcastDate': None}]"
66911adf3a4b669eacb4b04f,TCS,EQ,N,2024-07-12,2024-07-11T18:30:00.000Z,4199.95,3971.3,3980.0,4183.95,4182.45,3923.7,13509164,55617454764.65,4254.75,3250.1,800145,INE467B01029,2024-07-12T12:00:31.829Z,2024-07-12T12:00:31.829Z,0,5960225,44.12,4117.02,12-Jul-2024,
66911ae03a4b669eacb4ba61,TATACONSUM,EQ,N,2024-07-12,2024-07-11T18:30:00.000Z,1154.0,1130.05,1135.0,1152.25,1152.0,1131.4,1092749,1252527943.9,1269.0,822.0,52913,INE192A01025,2024-07-12T12:00:32.933Z,2024-07-12T12:00:32.933Z,0,650556,59.53,1146.22,12-Jul-2024,
66911adf3a4b669eacb4af29,TATAMOTORS,EQ,N,2024-07-12,2024-07-11T18:30:00.000Z,1025.9,1015.0,1023.85,1016.75,1018.2,1020.8,7339644,7488335702.4,1065.6,593.3,177026,INE155A01022,2024-07-12T12:00:31.682Z,2024-07-12T12:00:31.682Z,0,3748578,51.07,1020.26,12-Jul-2024,
66911adf3a4b669eacb4ac70,TATASTEEL,EQ,N,2024-07-12,2024-07-11T18:30:00.000Z,170.39,168.01,170.2,168.69,168.1,168.92,33311402,5628797434.72,184.6,111.65,209844,INE081A01020,2024-07-12T12:00:31.388Z,2024-07-12T12:00:31.388Z,0,18898261,56.73,168.98,12-Jul-2024,
66911adf3a4b669eacb4aa81,TECHM,EQ,N,2024-07-12,2024-07-11T18:30:00.000Z,1511.8,1461.05,1475.0,1505.05,1505.0,1460.6,4372156,6548186593.3,1511.8,1082.3,183011,INE669C01036,2024-07-12T12:00:31.194Z,2024-07-12T12:00:31.194Z,0,1993087,45.59,1497.7,12-Jul-2024,
66911ade3a4b669eacb4a7b6,TITAN,EQ,N,2024-07-12,2024-07-11T18:30:00.000Z,3269.0,3220.05,3266.0,3229.85,3221.45,3248.6,1496692,4853259484.3,3886.95,2882.45,110008,INE280A01028,2024-07-12T12:00:30.911Z,2024-07-12T12:00:30.911Z,0,869344,58.08,3242.66,12-Jul-2024,
66911af9b104d5da3a3132b2,ULTRACEMCO,EQ,N,2024-07-12,2024-07-11T18:30:00.000Z,11680.0,11470.05,11554.0,11602.3,11660.1,11554.95,366274,4242402942.9,12078.0,7987.65,75698,INE481G01011,2024-07-12T12:00:57.852Z,2024-07-12T12:00:57.852Z,0,194161,53.01,11582.59,12-Jul-2024,
66911add3a4b669eacb49df7,WIPRO,EQ,N,2024-07-12,2024-07-11T18:30:00.000Z,564.8,541.55,545.0,560.15,559.0,534.1,27093021,15052005876.2,564.8,375.05,298553,INE075A01022,2024-07-12T12:00:29.913Z,2024-07-12T12:00:29.913Z,0,8395630,30.99,555.57,12-Jul-2024,
