_id,SS_NAME,SS_SYMBOL,SS_DATE,SS_QTY,TIMESTAMP,createdAt,updatedAt,__v,mTIMESTAMP
667e3d76496a2bc246a46015,THE RAMCO CEMENTS LIMITED,RAMCOCEM,27-Jun-2024,107100,2024-06-27T18:30:00.000Z,2024-06-28T04:35:02.196Z,2024-06-28T04:35:02.196Z,0,28-Jun-2024
667e3d76496a2bc246a46016,EICHER MOTORS LIMITED,EICHERMOT,27-Jun-2024,40250,2024-06-27T18:30:00.000Z,2024-06-28T04:35:02.196Z,2024-06-28T04:35:02.196Z,0,28-Jun-2024
667e3d76496a2bc246a46018,SAMVRDHNA MTHRSN INT,MOTHERSON,27-Jun-2024,127800,2024-06-27T18:30:00.000Z,2024-06-28T04:35:02.197Z,2024-06-28T04:35:02.197Z,0,28-Jun-2024
667e3d76496a2bc246a46014,GRASIM INDUSTRIES LTD,GRASIM,27-Jun-2024,344015,2024-06-27T18:30:00.000Z,2024-06-28T04:35:02.198Z,2024-06-28T04:35:02.198Z,0,28-Jun-2024
667e3d76496a2bc246a46012,BOSCH LIMITED,BOSCHLTD,27-Jun-2024,16,2024-06-27T18:30:00.000Z,2024-06-28T04:35:02.198Z,2024-06-28T04:35:02.198Z,0,28-Jun-2024
668230e264ce5ab590f5f10a,CENTRAL DEPOSITORY SERVICES (INDIA) LIMITED,CDSL,28-Jun-2024,100,2024-06-30T18:30:00.000Z,2024-07-01T04:30:26.822Z,2024-07-01T04:30:26.822Z,0,01-Jul-2024
668230e264ce5ab590f5f10b,ASIAN PAINTS LIMITED,ASIANPAINT,28-Jun-2024,4400,2024-06-30T18:30:00.000Z,2024-07-01T04:30:26.824Z,2024-07-01T04:30:26.824Z,0,01-Jul-2024
668230e264ce5ab590f5f109,ULTRATECH CEMENT LIMITED,ULTRACEMCO,28-Jun-2024,10000,2024-06-30T18:30:00.000Z,2024-07-01T04:30:26.824Z,2024-07-01T04:30:26.824Z,0,01-Jul-2024
668230e264ce5ab590f5f10c,SAMVRDHNA MTHRSN INT,MOTHERSON,28-Jun-2024,305300,2024-06-30T18:30:00.000Z,2024-07-01T04:30:26.825Z,2024-07-01T04:30:26.825Z,0,01-Jul-2024
668230e264ce5ab590f5f108,INFOSYS TECHNOLOGIES LTD,INFY,28-Jun-2024,68000,2024-06-30T18:30:00.000Z,2024-07-01T04:30:26.826Z,2024-07-01T04:30:26.826Z,0,01-Jul-2024
6684d3e2b9721ae7f33ee522,MAHANAGAR GAS LTD.    ,MGL,02-Jul-2024,7600,2024-07-02T18:30:00.000Z,2024-07-03T04:30:26.912Z,2024-07-03T04:30:26.912Z,0,03-Jul-2024
6684d3e2b9721ae7f33ee521,INFOSYS TECHNOLOGIES LTD,INFY,02-Jul-2024,200800,2024-07-02T18:30:00.000Z,2024-07-03T04:30:26.913Z,2024-07-03T04:30:26.913Z,0,03-Jul-2024
66862676cc93208d45823cc6,COFORGE LIMITED,COFORGE,03-Jul-2024,1200,2024-07-03T18:30:00.000Z,2024-07-04T04:35:02.160Z,2024-07-04T04:35:02.160Z,0,04-Jul-2024
66862676cc93208d45823cc7,HDFC BANK LTD,HDFCBANK,03-Jul-2024,87450,2024-07-03T18:30:00.000Z,2024-07-04T04:35:02.161Z,2024-07-04T04:35:02.161Z,0,04-Jul-2024
668776e266d4243b718db5e5,COCHIN SHIPYARD LIMITED,COCHINSHIP,04-Jul-2024,26,2024-07-04T18:30:00.000Z,2024-07-05T04:30:26.317Z,2024-07-05T04:30:26.317Z,0,05-Jul-2024
668776e266d4243b718db5e6,MAZAGON DOCK SHIPBUIL LTD,MAZDOCK,04-Jul-2024,1,2024-07-04T18:30:00.000Z,2024-07-05T04:30:26.317Z,2024-07-05T04:30:26.317Z,0,05-Jul-2024
668776e266d4243b718db5e7,SAMVRDHNA MTHRSN INT,MOTHERSON,04-Jul-2024,674500,2024-07-04T18:30:00.000Z,2024-07-05T04:30:26.321Z,2024-07-05T04:30:26.321Z,0,05-Jul-2024
668776e266d4243b718db5e8,ASIAN PAINTS LIMITED,ASIANPAINT,04-Jul-2024,44600,2024-07-04T18:30:00.000Z,2024-07-05T04:30:26.322Z,2024-07-05T04:30:26.322Z,0,05-Jul-2024
